city,lon0,lon1,lat0,lat1
Vienna,16.125,16.625,48.0625,48.4375
Brussels,4.125,4.625,50.6875,50.9375
Sofia,22.875,23.875,42.3125,42.9375
Zagreb,15.625,16.375,45.5625,46.0625
Nicosia,32.375,33.625,34.8125,35.3125
Prague,13.875,14.875,49.6875,50.3125
Copenhagen,12.375,12.875,55.5625,55.8125
Tallinn,24.375,25.125,59.3125,59.6875
Helsinki,24.625,25.375,60.0625,60.3125
Paris,2.125,2.625,48.6875,49.0625
Berlin,12.875,13.875,52.3125,52.6875
Athens,23.625,23.875,37.9375,38.0625
Budapest,18.875,19.375,47.3125,47.6875
Reykjavik,-22.125,-21.375,63.9375,64.3125
Dublin,-6.625,-5.875,53.1875,53.6875
Rome,12.125,12.875,41.5625,42.1875
Riga,23.375,25.375,56.5625,57.4375
Vilnius,24.625,25.875,54.4375,55.1875
Luxembourg,5.875,6.375,49.5625,49.6875
Valletta,14.125,14.625,35.6875,36.1875
Amsterdam,4.625,5.125,52.1875,52.4375
Rotterdam,3.875,4.625,51.8125,52.0625
Oslo,10.375,11.125,59.6875,60.1875
Warsaw,20.625,21.375,52.0625,52.4375
Lisbon,-9.375,-8.875,38.6875,38.8125
Bucharest,25.875,26.375,44.3125,44.5625
Bratislava,16.875,17.375,47.9375,48.3125
Ljubljana,14.375,14.875,45.9375,46.1875
Barcelona,1.875,2.375,41.3125,41.5625
Madrid,-4.125,-3.375,40.1875,40.6875
Stockholm,17.625,18.375,59.1875,59.4375
Bern,7.125,7.625,46.8125,47.0625
Zurich,8.375,8.875,47.3125,47.5625
London,-0.625,0.375,51.1875,51.8125
Milan,8.875,9.375,45.3125,45.5625
Lille,2.625,3.375,50.4375,50.8125
Lyon,4.125,5.375,45.4375,46.0625
Frankfurt,8.375,8.875,49.9375,50.3125
